date;temp
01/01/10;-8.6
02/01/10;-11.3
03/01/10;-11.5
04/01/10;-11.2
05/01/10;-16.4
06/01/10;-15.4
07/01/10;-8.6
08/01/10;-14.4
09/01/10;-20.7
10/01/10;-8.6
11/01/10;-11.4
12/01/10;-10.7
13/01/10;-10.8
14/01/10;-6.7
15/01/10;-3.7
16/01/10;-2.5
17/01/10;-2.2
18/01/10;-2.2
19/01/10;-2.0
20/01/10;-2.6
21/01/10;-2.5
22/01/10;-5.2
23/01/10;-10.2
24/01/10;-11.8
25/01/10;-8.6
26/01/10;-12.9
27/01/10;-5.2
28/01/10;-6.0
29/01/10;-13.5
30/01/10;-20.6
31/01/10;-15.9
01/02/10;-5.5
02/02/10;-7.4
03/02/10;-1.9
04/02/10;-0.9
05/02/10;-3.3
06/02/10;-2.6
07/02/10;-4.5
08/02/10;-7.7
09/02/10;-5.4
10/02/10;-7.4
11/02/10;-15.5
12/02/10;-6.5
13/02/10;-5.6
14/02/10;-6.1
15/02/10;-7.1
16/02/10;-9.7
17/02/10;-5.0
18/02/10;-6.0
19/02/10;-8.5
20/02/10;-12.0
21/02/10;-14.9
22/02/10;-22.1
23/02/10;-10.6
24/02/10;-13.2
25/02/10;-9.0
26/02/10;0.1
27/02/10;0.3
28/02/10;1.1
01/03/10;-1.2
02/03/10;-6.4
03/03/10;-7.0
04/03/10;-6.8
05/03/10;-8.9
06/03/10;-15.0
07/03/10;-10.8
08/03/10;-1.5
09/03/10;-5.0
10/03/10;-0.3
11/03/10;-1.3
12/03/10;-3.2
13/03/10;-6.6
14/03/10;-4.6
15/03/10;-8.3
16/03/10;-8.1
17/03/10;-4.8
18/03/10;1.7
19/03/10;4.4
20/03/10;4.0
21/03/10;-1.3
22/03/10;-1.2
23/03/10;1.0
24/03/10;1.1
25/03/10;0.2
26/03/10;3.7
27/03/10;2.8
28/03/10;1.4
29/03/10;2.8
30/03/10;2.2
31/03/10;1.6
01/04/10;3.8
02/04/10;1.7
03/04/10;2.5
04/04/10;2.4
05/04/10;0.4
06/04/10;3.0
07/04/10;4.9
08/04/10;5.9
09/04/10;4.3
10/04/10;2.8
11/04/10;4.8
12/04/10;4.6
13/04/10;5.7
14/04/10;4.3
15/04/10;7.1
16/04/10;4.9
17/04/10;5.7
18/04/10;5.8
19/04/10;3.5
20/04/10;2.9
21/04/10;1.5
22/04/10;1.1
23/04/10;4.3
24/04/10;5.5
25/04/10;5.9
26/04/10;8.4
27/04/10;9.2
28/04/10;5.0
29/04/10;11.9
30/04/10;10.5
01/05/10;10.2
02/05/10;7.1
03/05/10;5.7
04/05/10;5.6
05/05/10;3.9
06/05/10;4.9
07/05/10;6.7
08/05/10;5.0
09/05/10;5.9
10/05/10;4.9
11/05/10;6.2
12/05/10;7.8
13/05/10;10.7
14/05/10;13.1
15/05/10;16.8
16/05/10;11.0
17/05/10;13.2
18/05/10;16.9
19/05/10;17.2
20/05/10;17.4
21/05/10;15.7
22/05/10;15.7
23/05/10;11.5
24/05/10;11.1
25/05/10;7.7
26/05/10;10.6
27/05/10;9.8
28/05/10;10.3
29/05/10;9.8
30/05/10;11.4
31/05/10;11.6
01/06/10;12.4
02/06/10;14.6
03/06/10;14.8
04/06/10;13.0
05/06/10;10.4
06/06/10;14.0
07/06/10;12.7
08/06/10;13.2
09/06/10;12.0
10/06/10;14.1
11/06/10;12.4
12/06/10;12.1
13/06/10;14.3
14/06/10;13.0
15/06/10;10.9
16/06/10;12.2
17/06/10;14.6
18/06/10;12.8
19/06/10;12.2
20/06/10;11.3
21/06/10;11.0
22/06/10;13.5
23/06/10;14.6
24/06/10;15.9
25/06/10;16.8
26/06/10;15.6
27/06/10;16.3
28/06/10;17.9
29/06/10;19.1
30/06/10;19.6
01/07/10;17.6
02/07/10;19.3
03/07/10;20.1
04/07/10;20.8
05/07/10;19.7
06/07/10;16.7
07/07/10;19.2
08/07/10;18.8
09/07/10;21.0
10/07/10;20.9
11/07/10;23.2
12/07/10;23.8
13/07/10;24.9
14/07/10;22.3
15/07/10;20.9
16/07/10;21.6
17/07/10;20.5
18/07/10;20.3
19/07/10;19.0
20/07/10;21.2
21/07/10;21.3
22/07/10;23.1
23/07/10;16.4
24/07/10;14.6
25/07/10;16.2
26/07/10;16.2
27/07/10;18.3
28/07/10;18.7
29/07/10;17.8
30/07/10;17.6
31/07/10;17.4
01/08/10;19.2
02/08/10;16.0
03/08/10;16.5
04/08/10;16.2
05/08/10;16.2
06/08/10;16.9
07/08/10;15.3
08/08/10;17.6
09/08/10;19.1
10/08/10;17.3
11/08/10;16.1
12/08/10;19.7
13/08/10;20.9
14/08/10;21.4
15/08/10;18.5
16/08/10;18.1
17/08/10;18.2
18/08/10;18.0
19/08/10;16.6
20/08/10;14.1
21/08/10;18.0
22/08/10;17.2
23/08/10;17.2
24/08/10;15.7
25/08/10;13.3
26/08/10;11.9
27/08/10;12.3
28/08/10;10.8
29/08/10;10.4
30/08/10;11.8
31/08/10;9.5
01/09/10;12.8
02/09/10;9.5
03/09/10;9.5
04/09/10;10.0
05/09/10;9.7
06/09/10;10.9
07/09/10;10.6
08/09/10;11.9
09/09/10;12.2
10/09/10;12.0
11/09/10;14.2
12/09/10;15.4
13/09/10;13.1
14/09/10;11.2
15/09/10;11.0
16/09/10;10.1
17/09/10;11.3
18/09/10;8.5
19/09/10;9.1
20/09/10;9.0
21/09/10;11.5
22/09/10;10.0
23/09/10;10.8
24/09/10;14.2
25/09/10;14.1
26/09/10;9.7
27/09/10;9.4
28/09/10;8.1
29/09/10;6.8
30/09/10;4.7
01/10/10;4.0
02/10/10;3.9
03/10/10;7.8
04/10/10;10.9
05/10/10;10.1
06/10/10;10.0
07/10/10;9.6
08/10/10;7.7
09/10/10;5.7
10/10/10;4.6
11/10/10;2.2
12/10/10;2.9
13/10/10;3.5
14/10/10;6.2
15/10/10;1.9
16/10/10;-1.6
17/10/10;-0.9
18/10/10;4.8
19/10/10;7.0
20/10/10;4.0
21/10/10;-1.3
22/10/10;-0.6
23/10/10;1.5
24/10/10;2.6
25/10/10;-0.7
26/10/10;-0.3
27/10/10;1.5
28/10/10;8.1
29/10/10;7.8
30/10/10;8.9
31/10/10;7.8
01/11/10;5.2
02/11/10;3.6
03/11/10;8.1
04/11/10;5.5
05/11/10;0.4
06/11/10;-2.4
07/11/10;-4.8
08/11/10;-5.4
09/11/10;1.0
10/11/10;0.5
11/11/10;0.3
12/11/10;3.1
13/11/10;2.7
14/11/10;4.7
15/11/10;2.0
16/11/10;-1.7
17/11/10;-0.8
18/11/10;0.0
19/11/10;0.1
20/11/10;1.1
21/11/10;1.6
22/11/10;0.0
23/11/10;-0.9
24/11/10;-2.7
25/11/10;-4.2
26/11/10;-8.8
27/11/10;-9.1
28/11/10;-5.5
29/11/10;-9.6
30/11/10;-10.2
01/12/10;-14.4
02/12/10;-13.5
03/12/10;-7.1
04/12/10;-9.1
05/12/10;-2.3
06/12/10;-2.0
07/12/10;-11.2
08/12/10;-12.2
09/12/10;-7.6
10/12/10;-10.4
11/12/10;-4.4
12/12/10;-10.0
13/12/10;-7.8
14/12/10;-5.3
15/12/10;-8.7
16/12/10;-2.6
17/12/10;-1.5
18/12/10;-3.9
19/12/10;-7.6
20/12/10;-7.5
21/12/10;-14.3
22/12/10;-21.5
23/12/10;-15.4
24/12/10;-11.4
25/12/10;-6.4
26/12/10;-7.3
27/12/10;-7.5
28/12/10;-7.0
29/12/10;-5.6
30/12/10;-7.9
31/12/10;-6.2
01/01/11;-2.6
02/01/11;-4.8
03/01/11;-13.5
04/01/11;-11.2
05/01/11;-2.1
06/01/11;-1.8
07/01/11;-1.1
08/01/11;-3.2
09/01/11;0.7
10/01/11;1.7
11/01/11;-0.4
12/01/11;-1.1
13/01/11;-6.8
14/01/11;-9.9
15/01/11;-6.5
16/01/11;1.1
17/01/11;3.8
18/01/11;1.9
19/01/11;-1.8
20/01/11;-3.4
21/01/11;-2.7
22/01/11;-1.6
23/01/11;-6.0
